Suburb,Lat,Lng,Train Station Count
Dallas,-37.66800000000001,144.94,4
Delahey,-37.719,144.777,3
Doveton,-37.9876769,145.2394075,1
McKinnon,-37.91,145.039,10
Mooroolbark,-37.785,145.315,1
Pakenham,-38.073568,145.4851308,1
Ringwood North,-37.799883,145.226877,4
Scoresby,-37.8991785,145.230328,0
Warrandyte,-37.738,145.223,0
Watsonia North,-37.7,145.081,2
Wattle Glen,-37.663,145.183,3
Wheelers Hill,-37.9067871,145.1890123,1
Albanvale,-37.746,144.765,3
Aspendale Gardens,-38.022778,145.118889,3
Belgrave,-37.912067,145.3558,4
Carrum Downs,-38.0994897,145.1726257,0
Cranbourne East,-38.11633459999999,145.307612,1
Cranbourne North,-38.07,145.291,1
Deer Park,-37.7702749,144.7747728,4
Heatherton,-37.95,145.085,4
Kilsyth,-37.802,145.316,1
Langwarrin,-38.1521755,145.1910175,0
Notting Hill,-37.9048347,145.1458611,4
Patterson Lakes,-38.0742262,145.1431018,1
Riddells Creek,-37.4543694,144.6873807,1
Beaconsfield Upper,-37.9982063,145.4237893,0
Chelsea Heights,-38.047,145.137,3
Chirnside Park,-37.754,145.327,1
Coolaroo,-37.6562333,144.9364069,3
Darley,-37.8952174,145.3203127,4
Hampton Park,-38.0283807,145.2687485,2
Keilor,-37.712,144.831,0
Meadow Heights,-37.65,144.922,3
Mount Evelyn,-37.783,145.385,0
North Warrandyte,-37.726,145.216,0
Sandhurst,-38.081,145.207,0
Silvan,-37.824,145.421,0
Wallan,-37.4066923,144.9798236,1
Croydon South,-37.814,145.271,3
Derrimut,-37.7927082,144.7715559,3
Diggers Rest,-37.628056,144.721111,1
Knoxfield,-37.891,145.248,0
Upwey,-37.903,145.33,5
Warranwood,-37.777,145.249,0
Bacchus Marsh,-37.6763789,144.4463206,1
Bullengarook,-37.516667,144.483333,0
Deepdene,-37.813056,145.067778,10
Hurstbridge,-37.638889,145.195,2
Kurunjang,-37.672,144.585,0
Laverton,-37.8592043,144.7704046,2
Lilydale,-37.758,145.35,1
Wonga Park,-37.7355557,145.2696895,0
Endeavour Hills,-37.9749174,145.2581884,0
Officer,-38.0611204,145.415089,2
Olinda,-37.85599,145.364357,0
Waterways,-38.0147634,145.1305169,2
Beaconsfield,-38.049,145.371,2
Yarra Glen,-37.648889,145.371944,0
Brookfield,-37.6999038,144.5382417,1
Lysterfield,-37.93,145.301,1
Plenty,-37.669,145.117,1
Whittlesea,-37.513889,145.113889,0
Burnside,-37.753,144.754,2
New Gisborne,-37.459,144.598,1
Guys Hill,-38.017,145.386,0
Plumpton,-37.6731215,144.6630148,0
croydon,-37.794384,145.2815432,3
Monbulk,-37.878,145.411,0
Avonsleigh,-37.925,145.481944,2
Wildwood,-37.5718,144.7935,0
Gisborne South,-37.538611,144.606389,0
Research,-37.707,145.18,1
viewbank,-37.731,145.1,4
Botanic Ridge,-38.144,145.267,0
Bulla,-37.636944,144.803056,0
Coldstream,-37.734,145.383,2
Hopetoun Park,-37.6978954,144.5053764,0
Cranbourne West,-38.1021731,145.2535448,2
Eynesbury,-37.7471636,144.5640379,0
Fawkner Lot,-37.7072243,144.9669297,5
Ferny Creek,-37.878,145.335,2
Wandin North,-37.769,145.411,0
Kalkallo,-37.5245635,144.955677,1
Menzies Creek,-37.931,145.398,2
