Education_Sector,School_Name,School_Type,Address,Suburb,Postcode,Full_Phone_No,LGA_ID,LGA_Name,CouncilArea,Longitude,Latitude
Government,Morang South Primary School,Primary,77 Gorge Road,South Morang,3752,03 9404 1548,707,Whittlesea ,Whittlesea City Council,145.0946659,-37.65286941
Government,Camp Hill Primary School,Primary,50 Gaol Rd,Bendigo,3550,03 5443 3367,262,Greater Bendigo ,Greater Bendigo City Council,144.278038,-36.755712
Government,Pyalong Primary School,Primary,10-14 Bourke Street,Pyalong,3521,03 5785 1291,485,Mitchell ,Mitchell Shire Council,144.857094,-37.117236
Government,Winchelsea Primary School,Primary,60 Main Street,Winchelsea,3241,03 5267 2134,649,Surf Coast ,Surf Coast City Council,143.9842796,-38.24449281
Government,Buln Buln Primary School,Primary,15 Old Sale Road,Buln Buln,3821,03 5626 8330,83,Baw Baw ,Baw Baw City Council,145.938174,-38.099354
Government,Macarthur Street Primary School,Primary,401 Macarthur Street,Soldiers Hill,3350,03 5332 4746,57,Ballarat ,Ballarat City Council,143.857486,-37.55114678
Government,Elliminyt Primary School,Primary,135 Slater Street,Elliminyt,3249,03 5231 5208,175,Colac-Otway ,Colac-Otway City Council,143.583697,-38.361351
Government,Mornington Primary School,Primary,Vale Street,Mornington,3931,03 5976 5500,534,Mornington Peninsula ,Mornington Peninsula City Council,145.043087,-38.221806
Government,Hamilton North Primary School,Primary,34 - 50 Andrews Street,Hamilton,3300,03 5571 2433,626,Southern Grampians ,Southern Grampians City Council,141.995148,-37.726456
Government,Mount Blowhard Primary School,Primary,527 Millers Road,Blowhard,3352,03 5334 6354,57,Ballarat ,Ballarat City Council,143.7864444,-37.42924282
Government,Creswick North Primary School,Primary,93 Macs Street,Creswick,3363,03 5345 2012,291,Hepburn ,Hepburn City Council,143.8908198,-37.40883711
Government,Black Hill Primary School,Primary,601 Chisholm Street,Ballarat,3350,03 5332 4544,57,Ballarat ,Ballarat City Council,143.869785,-37.549844
Government,Brighton Beach Primary School,Primary,19 Windermere Crescent,Brighton,3186,03 9591 0888,91,Bayside ,Bayside City Council,144.996107,-37.922105
Government,Castlemaine North Primary School,Primary,270 Barker Street,Castlemaine,3450,03 5472 1391,543,Mount Alexander ,Mount Alexander City Council,144.218993,-37.057835
Government,Yarrambat Primary School,Primary,552 Yan Yean Road,Yarrambat,3091,03 9436 1464,571,Nillumbik ,Nillumbik Shire Council,145.133097,-37.641245
Government,Casterton Primary School,Primary,14 - 24 Mc Pherson Street,Casterton,3311,03 5581 1522,241,Glenelg ,Glenelg City Council,141.405196,-37.586549
Government,Nathalia Primary School,Primary,5 Bromley Street,Nathalia,3638,03 5866 2677,490,Moira ,Moira City Council,145.205888,-36.057524
Government,Chilwell Primary School,Primary,313a Pakington Street,Newtown,3220,03 5221 2738,275,Greater Geelong ,Greater Geelong City Council,144.345381,-38.155114
Government,Greensborough Primary School,Primary,130 Grimshaw Street,Greensborough,3088,03 9435 1496,66,Banyule ,Banyule City Council,145.100496,-37.703569
Government,Teesdale Primary School,Primary,Main Road,Teesdale,3328,03 5281 5218,249,Golden Plains ,Golden Plains City Council,144.0545907,-38.02923075
Government,Cranbourne Primary School,Primary,Bakewell Street,Cranbourne,3977,03 5996 1744,161,Casey ,Casey City Council,145.287849,-38.111863
Government,Katamatite Primary School,Primary,4 - 6 Currajong Avenue,Katamatite,3649,03 5865 1242,490,Moira ,Moira City Council,145.685297,-36.077354
Government,Buangor Primary School,Primary,26 School Road,Buangor,3375,03 5354 5513,26,Ararat ,Ararat City Council,143.175019,-37.364043
Government,Leitchville Primary School,Primary,2-4 Hawken Street,Leitchville,3567,03 5456 7438,225,Gannawarra ,Gannawarra City Council,144.302091,-35.909548
Government,Whittlesea Primary School,Primary,2425-2435 Plenty Road,Whittlesea,3757,03 9716 2140,707,Whittlesea ,Whittlesea City Council,145.1140469,-37.51426809
Government,Little Bendigo Primary School,Primary,8 Monte Street,Nerrina,3350,03 5332 6317,57,Ballarat ,Ballarat City Council,143.8950582,-37.54290101
Government,Newington Primary School,Primary,49 Inkerman Street,Ballarat,3350,03 5330 5400,57,Ballarat ,Ballarat City Council,143.8312189,-37.56601777
Government,Warragul Primary School,Primary,44 Bowen Street,Warragul,3820,03 5623 2460,83,Baw Baw ,Baw Baw City Council,145.928145,-38.156345
Government,Kangaroo Ground Primary School,Primary,Cr Graham&Eltham-Yarra Glen Rd,Kangaroo Ground,3097,03 9712 0292,571,Nillumbik ,Nillumbik Shire Council,145.214656,-37.691737
Government,Traralgon South Primary School,Primary,13 - 19 Keith Morgan Drive,Traralgon South,3844,03 5195 5244,381,Latrobe ,Latrobe City Council,146.540146,-38.297258
Government,Coleraine Primary School,Primary,124 Church Street,Coleraine,3315,03 5575 2057,626,Southern Grampians ,Southern Grampians City Council,141.684038,-37.601842
Government,Lake Charm Primary School,Primary,1939 Murray Valley Highway,Lake Charm,3581,03 5457 9244,225,Gannawarra ,Gannawarra City Council,143.800225,-35.606642
Government,Ripplebrook Primary School,Primary,2260 Westernport Road,Ripplebrook,3818,03 5627 6278,83,Baw Baw ,Baw Baw City Council,145.758488,-38.203495
Government,Numurkah Primary School,Primary,12 Quinn Street,Numurkah,3636,03 5862 1426,490,Moira ,Moira City Council,145.444996,-36.09024
Government,Moe (Albert Street) Primary School,Primary,40 Albert Street,Moe,3825,03 5127 1966,381,Latrobe ,Latrobe City Council,146.264349,-38.174709
Government,Geelong South Primary School,Primary,200 Yarra Street,South Geelong,3220,03 5221 4047,275,Greater Geelong ,Greater Geelong City Council,144.358566,-38.156945
Government,Bayswater Primary School,Primary,2 Birch Street,Bayswater,3153,03 9721 3755,367,Knox ,Knox City Council,145.259358,-37.843305
Government,Minyip Primary School,Primary,21 Main Street,Minyip,3392,03 5385 7485,763,Yarriambiack ,Yarriambiack City Council,142.584105,-36.462714
Government,Mulgrave Primary School,Primary,Gladeswood Drive,Mulgrave,3170,03 9795 2477,497,Monash ,Monash City Council,145.197367,-37.932946
Government,Yarragon Primary School,Primary,65 Loch Street,Yarragon,3823,03 5634 2375,83,Baw Baw ,Baw Baw City Council,146.0609594,-38.20937414
Government,Tyers Primary School,Primary,Main Road,Tyers,3844,03 5191 8260,381,Latrobe ,Latrobe City Council,146.477545,-38.149113
Government,Trafalgar Primary School,Primary,84 School Road,Trafalgar,3824,03 5633 1566,83,Baw Baw ,Baw Baw City Council,146.15987,-38.214764
Government,Kinglake Primary School,Primary,20 Mcmahons Rd,Kinglake,3763,03 5786 1284,562,Murrindindi ,Murrindindi City Council,145.356638,-37.521567
Government,Ellinbank Primary School,Primary,13 Community Place,Ellinbank,3821,03 5626 1338,83,Baw Baw ,Baw Baw City Council,145.935631,-38.240233
Government,Tambo Upper Primary School,Primary,890 Tambo Upper Road,Tambo Upper,3885,03 5156 4327,211,East Gippsland ,East Gippsland City Council,147.845203,-37.766199
Government,Baranduda Primary School,Primary,7 Verbena Street,Baranduda,3691,02 6020 8531,717,Wodonga ,Wodonga City Council,146.948115,-36.180533
Government,Tungamah Primary School,Primary,15 -17 Tower Street,Tungamah,3728,03 5748 5627,490,Moira ,Moira City Council,145.879472,-36.161306
Government,Bunyip Primary School,Primary,1290 Nar Nar Goon - Longwarry Road,Bunyip,3815,03 5629 5462,145,Cardinia ,Cardinia Shire Council,145.712509,-38.09884
Government,Gunbower Primary School,Primary,School Road,Gunbower,3566,03 5487 1323,137,Campaspe ,Campaspe City Council,144.372318,-35.954628
Government,Nar Nar Goon Primary School,Primary,27 Spencer Street,Nar Nar Goon,3812,03 5942 5311,145,Cardinia ,Cardinia Shire Council,145.574014,-38.082766
Government,Toora Primary School,Primary,5 Harriet Street,Toora,3962,03 5686 2283,617,South Gippsland ,South Gippsland City Council,146.327991,-38.663517
Government,Montrose Primary School,Primary,17-21 Leith Road,Montrose,3765,03 9728 2203,745,Yarra Ranges ,Yarra Ranges Shire Council,145.343691,-37.808098
Government,Koondrook Primary School,Primary,9 Punt Road,Koondrook,3580,03 5453 2428,225,Gannawarra ,Gannawarra City Council,144.129868,-35.634872
Government,Katunga South Primary School,Primary,245 Hays Road,Katunga,3640,03 5864 6212,490,Moira ,Moira City Council,145.458941,-36.018383
Government,Magpie Primary School,Primary,61 Docwra Street,Magpie,3352,03 5335 8851,57,Ballarat ,Ballarat City Council,143.843266,-37.615709
Government,Tawonga Primary School,Primary,Kiewa Valley Highway,Tawonga,3697,03 5754 4468,11,Alpine ,Alpine City Council,147.143253,-36.691398
Government,Narracan Primary School,Primary,32 School Road,Narracan,3824,03 5634 8215,83,Baw Baw ,Baw Baw City Council,146.231626,-38.261575
Government,Drouin South Primary School,Primary,3061 Westernport Road,Drouin South,3818,03 5627 6286,83,Baw Baw ,Baw Baw City Council,145.826818,-38.170566
Government,Eskdale Primary School,Primary,3790 Omeo Highway,Eskdale,3701,0409 801 510,667,Towong ,Towong City Council,147.251247,-36.465266
Government,Darnum Primary School,Primary,6 Graham Street,Darnum,3822,03 5627 8273,83,Baw Baw ,Baw Baw City Council,145.999698,-38.187727
Government,Moorooduc Primary School,Primary,Cnr Derril Rd & Mornington Tyabb Rd,Moorooduc,3933,03 5978 8330,534,Mornington Peninsula ,Mornington Peninsula City Council,145.105166,-38.248085
Government,The Basin Primary School,Primary,Cnr Liverpool Road & Mountain Highway,The Basin,3154,03 9762 1143,367,Knox ,Knox City Council,145.308425,-37.84951
Government,Paynesville Primary School,Primary,31 - 47 Ashley Street,Paynesville,3880,03 5156 6334,211,East Gippsland ,East Gippsland City Council,147.714701,-37.91128
Government,Epsom Primary School,Primary,Howard Street,Epsom,3551,03 5448 4318,262,Greater Bendigo ,Greater Bendigo City Council,144.312687,-36.70505
Government,Kensington Primary School,Primary,62-74 McCracken Street,Kensington,3031,03 9376 6013,460,Melbourne ,Melbourne City Council,144.927615,-37.79267
Government,Hazelwood North Primary School,Primary,121 Church Road,Hazelwood North,3840,03 5166 1267,381,Latrobe ,Latrobe City Council,146.44768,-38.26819
Government,Mirboo North Primary School,Primary,Balook Street,Mirboo North,3871,03 5668 1375,617,South Gippsland ,South Gippsland City Council,146.151092,-38.400492
Government,Yinnar Primary School,Primary,30 Main Street,Yinnar,3869,03 5163 1362,381,Latrobe ,Latrobe City Council,146.328907,-38.321087
Government,Neerim South Primary School,Primary,180 Main Neerim Road,Neerim South,3831,03 5628 1254,83,Baw Baw ,Baw Baw City Council,145.955358,-38.01531
Government,Ivanhoe Primary School,Primary,122 Waterdale Road,Ivanhoe,3079,03 9499 1880,66,Banyule ,Banyule City Council,145.04298,-37.766573
Government,Portarlington Primary School,Primary,100 Newcombe Street,Portarlington,3223,03 5259 2572,275,Greater Geelong ,Greater Geelong City Council,144.65498,-38.115522
Government,Menzies Creek Primary School,Primary,12 School Road,Menzies Creek,3159,03 9754 3695,745,Yarra Ranges ,Yarra Ranges Shire Council,145.394271,-37.917349
Government,St Kilda Park Primary School,Primary,68 Fitzroy Street,St Kilda,3182,03 8598 6444,590,Port Phillip ,Port Phillip City Council,144.977794,-37.858117
Government,Labertouche Primary School,Primary,35 School Road,Labertouche,3816,03 5628 7503,83,Baw Baw ,Baw Baw City Council,145.804945,-38.037672
Government,Diggers Rest Primary School,Primary,Plumpton Road,Diggers Rest,3427,03 9740 1391,465,Melton ,Melton City Council,144.709232,-37.622632
Government,Longwarry Primary School,Primary,5 McCrae Street,Longwarry,3816,03 5629 9376,83,Baw Baw ,Baw Baw City Council,145.769135,-38.1141
Government,Gembrook Primary School,Primary,50 Main Street,Gembrook,3783,03 5968 1313,145,Cardinia ,Cardinia Shire Council,145.545319,-37.951638
Government,Wurruk Primary School,Primary,13 -19 Fisk Street,Wurruk,3850,03 5144 2975,681,Wellington ,Wellington City Council,147.039947,-38.106803
Government,Willow Grove Primary School,Primary,39-45 Moe-Willow Grove Road,Willow Grove,3825,03 5635 2271,83,Baw Baw ,Baw Baw City Council,146.17734,-38.071392
Government,Hoddles Creek Primary School,Primary,700 Gembrook-Launching Place Road,Hoddles Creek,3139,03 5967 4282,745,Yarra Ranges ,Yarra Ranges Shire Council,145.5977536,-37.83173912
Government,Beaconsfield Upper Primary School,Primary,40 Stoney Creek Road,Beaconsfield Upper,3808,03 5944 3591,145,Cardinia ,Cardinia Shire Council,145.414758,-37.995404
Government,Congupna Primary School,Primary,3580 Katamatite Road,Congupna,3633,03 5829 9286,283,Greater Shepparton ,Greater Shepparton City Council,145.434275,-36.299866
Government,Redesdale Mia Mia Primary School,Primary,31 School Road,Redesdale,3444,03 5425 3155,262,Greater Bendigo ,Greater Bendigo City Council,144.530885,-37.019525
Government,Malvern Primary School,Primary,17 Tooronga Road,Malvern East,3145,03 9571 6281,635,Stonnington ,Stonnington City Council,145.038458,-37.871592
Government,Launching Place Primary School,Primary,Carter Street,Launching Place,3139,03 5964 7783,745,Yarra Ranges ,Yarra Ranges Shire Council,145.5707669,-37.78250174
Government,Carlton Gardens Primary School,Primary,215 Rathdowne Street,Carlton,3053,03 9663 6502,460,Melbourne ,Melbourne City Council,144.969512,-37.802047
Government,Ascot Vale Primary School,Primary,Bank Street,Ascot Vale,3032,03 9370 6507,506,Moonee Valley ,Moonee Valley City Council,144.926119,-37.774322
Government,Boolarra Primary School,Primary,Tarwin Street,Boolarra,3870,03 5169 6471,381,Latrobe ,Latrobe City Council,146.268869,-38.382873
Government,Rosebud Primary School,Primary,Point Nepean Road,Rosebud,3939,03 5986 8274,534,Mornington Peninsula ,Mornington Peninsula City Council,144.908999,-38.355761
Government,Koo Wee Rup Primary School,Primary,28-34 Moody Street,Koo Wee Rup,3981,03 5997 1272,145,Cardinia ,Cardinia Shire Council,145.492857,-38.194834
Government,Armadale Primary School,Primary,9-23 Densham Road,Armadale,3143,03 9822 7003,635,Stonnington ,Stonnington City Council,145.017773,-37.852186
Government,Osborne Primary School,Primary,120 Craigie Rd,Mount Martha,3934,03 5975 1792,534,Mornington Peninsula ,Mornington Peninsula City Council,145.040906,-38.257107
Government,Somerville Primary School,Primary,37 Eramosa Road East,Somerville,3912,03 5977 5421,534,Mornington Peninsula ,Mornington Peninsula City Council,145.179139,-38.224016
Government,Willaura Primary School,Primary,14 Warranooke Street,Willaura,3379,03 5354 1401,26,Ararat ,Ararat City Council,142.739458,-37.54469
Government,Echuca East Primary School,Primary,21-31 Eyre Street,Echuca,3564,03 5482 2588,137,Campaspe ,Campaspe City Council,144.761108,-36.134052
Government,Lakes Entrance Primary School,Primary,49 Myer Street,Lakes Entrance,3909,03 5155 1812,211,East Gippsland ,East Gippsland City Council,147.994237,-37.875976
Government,Myrrhee Primary School,Primary,1673 Benalla-whitfield Road,Myrrhee,3732,03 5729 7524,670,Wangaratta ,Wangaratta City Council,146.318249,-36.738189
Government,Longwood Primary School,Primary,1-21 Hurley Street,Longwood,3665,03 5798 5386,643,Strathbogie ,Strathbogie City Council,145.422063,-36.807932
Government,Forrest Primary School,Primary,10 Grant Street,Forrest,3236,03 5236 6393,175,Colac-Otway ,Colac-Otway City Council,143.714415,-38.516287
Government,Fairfield Primary School,Primary,Langridge Street,Fairfield,3078,03 9489 2966,189,Darebin ,Darebin City Council,145.020401,-37.777993
Government,Nilma Primary School,Primary,76 Bloomfield Road,Nilma,3821,03 5623 2963,83,Baw Baw ,Baw Baw City Council,145.974293,-38.165737
Government,Garfield Primary School,Primary,84 Railway Avenue,Garfield,3814,03 5629 2274,145,Cardinia ,Cardinia Shire Council,145.674153,-38.090563
Government,Yinnar South Primary School,Primary,Brewsters Road,Yinnar South,3869,03 5169 1540,381,Latrobe ,Latrobe City Council,146.3648129,-38.36891222
Government,Officer Primary School,Primary,13-23 Tivendale Rd,Officer,3809,03 5943 2315,145,Cardinia ,Cardinia Shire Council,145.410181,-38.058277
Government,Brunswick South Primary School,Primary,56 Brunswick Road,Brunswick East,3057,03 9380 1231,525,Moreland ,Moreland City Council,144.972536,-37.778704
Government,Orbost Primary School,Primary,10 Ruskin Street,Orbost,3888,03 5154 1119,211,East Gippsland ,East Gippsland City Council,148.457717,-37.707908
Government,Inverloch Primary School,Primary,Bayview Avenue,Inverloch,3996,03 5674 1253,74,Bass Coast ,Bass Coast City Council,145.728617,-38.631199
Government,Surrey Hills Primary School,Primary,2 Beatrice Avenue,Surrey Hills,3127,03 9890 1560,698,Whitehorse ,Whitehorse City Council,145.100903,-37.825534
Government,Montague Continuing Education Centre,Special,100 Montague Street,South Melbourne,3205,03 9690 3535,590,Port Phillip ,Port Phillip City Council,144.949738,-37.830602
Government,Strathmerton Primary School,Primary,Findlay Street,Strathmerton,3641,03 5874 5295,490,Moira ,Moira City Council,145.478843,-35.92402
Government,Laharum Primary School,Primary,1574 Northern Grampians Road,Laharum,3401,03 5383 6202,319,Horsham ,Horsham City Council,142.323314,-36.945346
Government,Walwa Primary School,Primary,4 Main Street,Walwa,3709,02 6037 1380,667,Towong ,Towong City Council,147.732148,-35.964228
Government,Middle Park Primary School,Primary,194 Richardson Street,Middle Park,3206,03 9690 1336,590,Port Phillip ,Port Phillip City Council,144.957512,-37.847803
Government,Seville Primary School,Primary,639 Warburton Highway,Seville,3139,03 5964 4557,745,Yarra Ranges ,Yarra Ranges Shire Council,145.4644066,-37.77389139
Government,Yarraville West Primary School,Primary,30 Powell Street,Yarraville,3013,03 9314 7714,433,Maribyrnong ,Maribyrnong City Council,144.885386,-37.814751
Government,Moreland Primary School,Primary,157-163 Moreland Road,Coburg,3058,03 9386 2510,525,Moreland ,Moreland City Council,144.966478,-37.755046
Government,Tanjil South Primary School,Primary,253 Moe-Willow Grove Road,Tanjil South,3825,03 5160 1255,83,Baw Baw ,Baw Baw City Council,146.252395,-38.118867
Government,Pomonal Primary School,Primary,2859 Ararat - Halls Gap Road,Pomonal,3381,03 5356 6292,26,Ararat ,Ararat City Council,142.608733,-37.193443
Government,Elsternwick Primary School,Primary,44 Murphy Street,Brighton,3186,03 8534 6100,91,Bayside ,Bayside City Council,144.997293,-37.891416
Government,Glengarry Primary School,Primary,41 - 45 Cairnbrook Road,Glengarry,3854,03 5192 4292,381,Latrobe ,Latrobe City Council,146.571338,-38.127576
Government,Carnegie Primary School,Primary,51 Truganini Road,Carnegie,3163,03 9571 2662,231,Glen Eira ,Glen Eira City Council,145.054505,-37.890739
Government,Lang Lang Primary School,Primary,52 Westernport Road,Lang Lang,3984,03 5997 5322,145,Cardinia ,Cardinia Shire Council,145.569397,-38.263173
Government,Croydon Primary School,Primary,Cnr Kent Avenue & Croydon Road,Croydon,3136,03 9723 2472,441,Maroondah ,Maroondah City Council,145.281321,-37.793171
Government,Moonee Ponds West Primary School,Primary,150 Athol Street,Moonee Ponds,3039,03 9370 6875,506,Moonee Valley ,Moonee Valley City Council,144.909334,-37.768947
Government,Mitcham Primary School,Primary,294 Mitcham Road,Mitcham,3132,03 9873 1551,698,Whitehorse ,Whitehorse City Council,145.192719,-37.808986
Government,Loch Primary School,Primary,2 Victoria Road,Loch,3945,03 5659 4254,617,South Gippsland ,South Gippsland City Council,145.70295,-38.368623
Government,Mildura Primary School,Primary,175-189 San Mateo Avenue,Mildura,3500,03 5023 1851,478,Mildura ,Mildura City Council,142.160493,-34.194287
Government,Blackburn Primary School,Primary,185 Surrey Road,Blackburn,3130,03 9878 1483,698,Whitehorse ,Whitehorse City Council,145.156696,-37.816566
Government,Newmerella Primary School,Primary,2-4 McLaughlins Road,Newmerella,3886,03 5154 1620,211,East Gippsland ,East Gippsland City Council,148.433995,-37.735473
Government,Port Melbourne Primary School,Primary,415 Graham Street,Port Melbourne,3207,03 9646 1001,590,Port Phillip ,Port Phillip City Council,144.933812,-37.835322
Government,Auburn Primary School,Primary,51 Rathmines Road,Hawthorn East,3123,03 9882 7035,111,Boroondara ,Boroondara City Council,145.050484,-37.820278
Government,Mentone Primary School,Primary,6 Childers Street,Mentone,3194,03 9583 2995,343,Kingston ,Kingston City Council,145.067971,-37.982948
Government,Princes Hill Primary School,Primary,280 Pigdon Street,Carlton North,3054,03 9389 5300,735,Yarra ,Yarra City Council,144.9681013,-37.78039994
Government,Gruyere Primary School,Primary,99 Killara Road,Gruyere,3770,03 5964 9260,745,Yarra Ranges ,Yarra Ranges Shire Council,145.4503894,-37.73408606
Government,Research Primary School,Primary,1570 Main Road,Research,3095,03 9437 1917,571,Nillumbik ,Nillumbik Shire Council,145.1835697,-37.70291933
Government,Pearcedale Primary School,Primary,Baxter-tooradin Road,Pearcedale,3912,03 5978 6250,161,Casey ,Casey City Council,145.231975,-38.203012
Government,Lindenow South Primary School,Primary,607 Lindenow-Glenaladale Road,Lindenow South,3875,03 5157 1397,211,East Gippsland ,East Gippsland City Council,147.433901,-37.826941
Government,Thorpdale Primary School,Primary,19 Robinson Street,Thorpdale,3835,03 5634 6325,83,Baw Baw ,Baw Baw City Council,146.178792,-38.288457
Government,St Albans Primary School,Primary,39 West Esplanade,St Albans,3021,03 9366 2832,118,Brimbank ,Brimbank City Council,144.795769,-37.738748
Government,Leongatha Primary School,Primary,Nerrena Road,Leongatha,3953,03 5667 4600,617,South Gippsland ,South Gippsland City Council,145.9589823,-38.47892754
Government,Jeparit Primary School,Primary,Sands Avenue,Jeparit,3423,03 5397 2033,298,Hindmarsh ,Hindmarsh City Council,141.984051,-36.141338
Government,Toorak Primary School,Primary,Canterbury Road,Toorak,3142,03 9827 2959,635,Stonnington ,Stonnington City Council,145.009909,-37.845076
Government,Baxter Primary School,Primary,Grant Road,Baxter,3911,03 5971 1391,534,Mornington Peninsula ,Mornington Peninsula City Council,145.181553,-38.199663
Government,Fish Creek and District Primary School,Primary,10 Foster Road,Fish Creek,3959,03 5683 2271,617,South Gippsland ,South Gippsland City Council,146.084419,-38.694749
Government,Beaconsfield Primary School,Primary,71-77 Old Princes Highway,Beaconsfield,3807,03 9707 1510,145,Cardinia ,Cardinia Shire Council,145.3716379,-38.04862904
Government,Metung Primary School,Primary,90 Stirling Road,Metung,3904,03 5156 2259,211,East Gippsland ,East Gippsland City Council,147.852464,-37.882955
Government,Newhaven Primary School,Primary,12-22 School Avenue,Newhaven,3925,03 5956 7326,74,Bass Coast ,Bass Coast City Council,145.356858,-38.513155
Government,Halls Gap Primary School,Primary,10-14 School Road,Halls Gap,3381,03 5356 4235,581,Northern Grampians ,Northern Grampians City Council,142.51743,-37.137482
Government,Tallygaroopna Primary School,Primary,24-34 Victoria Street,Tallygaroopna,3634,03 5829 8264,283,Greater Shepparton ,Greater Shepparton City Council,145.436316,-36.238614
Government,Ormond Primary School,Primary,121 Wheatley Road,Ormond,3204,03 9578 1327,231,Glen Eira ,Glen Eira City Council,145.033669,-37.907001
Government,Korumburra Primary School,Primary,6 - 16 Mine Road,Korumburra,3950,03 5655 1309,617,South Gippsland ,South Gippsland City Council,145.825636,-38.435133
Government,Crib Point Primary School,Primary,70 Milne Street,Crib Point,3919,03 5983 9282,534,Mornington Peninsula ,Mornington Peninsula City Council,145.200539,-38.360484
Government,Pascoe Vale Primary School,Primary,362 Gaffney Street,Pascoe Vale,3044,03 9354 1611,525,Moreland ,Moreland City Council,144.937255,-37.731225
Government,Flowerdale Primary School,Primary,3377 Whittlesea Yea Road,Flowerdale,3717,03 5780 1264,562,Murrindindi ,Murrindindi City Council,145.291361,-37.316923
Government,Ocean Grove Primary School,Primary,1 - 23 Draper Street,Ocean Grove,3226,03 5255 1340,275,Greater Geelong ,Greater Geelong City Council,144.521852,-38.263993
Government,Beulah Primary School,Primary,Henty Highway,Beulah,3395,03 5390 2332,763,Yarriambiack ,Yarriambiack City Council,142.418256,-35.944942
Government,Merri Creek Primary School,Primary,Miller Street,Fitzroy North,3068,03 9481 0177,735,Yarra ,Yarra City Council,144.987386,-37.776966
Government,Sunshine Primary School,Primary,Cnr Hampshire & Derby Roads,Sunshine,3020,03 8311 5700,118,Brimbank ,Brimbank City Council,144.831101,-37.790881
Government,Tyabb Primary School,Primary,186 Mornington-Tyabb Road,Tyabb,3913,03 5977 4584,534,Mornington Peninsula ,Mornington Peninsula City Council,145.166635,-38.260708
Government,Wales Street Primary School,Primary,Wales Street,Thornbury,3071,03 9484 3949,189,Darebin ,Darebin City Council,145.008833,-37.76151
Government,Upper Sandy Creek Primary School,Primary,1037 Sandy Creek Road,Sandy Creek,3695,02 6071 8526,335,Indigo ,Indigo City Council,147.112896,-36.355178
Government,Spensley Street Primary School,Primary,193 Spensley Street,Clifton Hill,3068,03 9481 4666,735,Yarra ,Yarra City Council,145.003879,-37.786794
Government,Kew East Primary School,Primary,35 Kitchener Street,Kew East,3102,03 9859 2903,111,Boroondara ,Boroondara City Council,145.049151,-37.796473
Government,Nichols Point Primary School,Primary,110 Koorlong Avenue,Nichols Point,3501,03 5023 1633,478,Mildura ,Mildura City Council,142.204635,-34.2088
Government,Irymple Primary School,Primary,2032 15th Street,Irymple,3498,03 5024 5334,478,Mildura ,Mildura City Council,142.15908,-34.226605
Government,Brunswick East Primary School,Primary,195a Stewart Street,Brunswick East,3057,03 9387 3361,525,Moreland ,Moreland City Council,144.980001,-37.765271
Government,Eagle Point Primary School,Primary,43 School Road,Eagle Point,3878,03 5156 6382,211,East Gippsland ,East Gippsland City Council,147.680216,-37.892449
Government,Yarra Junction Primary School,Primary,2370 Warburton Highway,Yarra Junction,3797,03 5967 1544,745,Yarra Ranges ,Yarra Ranges Shire Council,145.6060798,-37.779029
Government,Sassafras Primary School,Primary,399 Mt Dandenong Tourist Road,Sassafras,3787,03 9755 1203,745,Yarra Ranges ,Yarra Ranges Shire Council,145.354552,-37.861625
Government,Ferny Creek Primary School,Primary,School Road,Ferny Creek,3786,03 9755 1522,745,Yarra Ranges ,Yarra Ranges Shire Council,145.3347256,-37.8842124
Government,Toolangi Primary School,Primary,Main Road,Toolangi,3777,03 5962 9255,562,Murrindindi ,Murrindindi City Council,145.472501,-37.535374
Government,Wonga Park Primary School,Primary,Dudley Road,Wonga Park,3115,03 9722 1325,421,Manningham ,Manningham City Council,145.273999,-37.730641
Government,Kinglake West Primary School,Primary,1041-1061 Whittlesea-Kinglake Rd,Kinglake West,3757,03 5786 5262,562,Murrindindi ,Murrindindi City Council,145.259597,-37.481303
Government,Perseverance Primary School,Primary,Centreway,French Island,3921,03 5980 1292,939,Unincorporated Vic,Unincorporated VicCity Council,145.3334052,-38.38337735
Government,Monbulk Primary School,Primary,1 Main Road,Monbulk,3793,03 9756 6481,745,Yarra Ranges ,Yarra Ranges Shire Council,145.4102612,-37.87685153
Government,Lake Boga Primary School,Primary,8 Williams Street,Lake Boga,3584,03 5036 9000,661,Swan Hill ,Swan Hill City Council,143.63207,-35.464511
Government,Chum Creek Primary School,Primary,705 Chum Creek Road,Chum Creek,3777,03 5962 5391,745,Yarra Ranges ,Yarra Ranges Shire Council,145.4892499,-37.60595782
Government,Mount Dandenong Primary School,Primary,Farndons Road,Mount Dandenong,3767,03 9751 1136,745,Yarra Ranges ,Yarra Ranges Shire Council,145.362166,-37.83074276
Government,Nullawil Primary School,Primary,Church Street,Nullawil,3529,03 5493 5260,127,Buloke ,Buloke City Council,143.179119,-35.852732
Government,Badger Creek Primary School,Primary,139 Badger Creek Rd,Healesville,3777,03 5962 4019,745,Yarra Ranges ,Yarra Ranges Shire Council,145.533243,-37.681338
Government,Middle Kinglake Primary School,Primary,RSD 1 Extons Road,Kinglake Central,3757,03 5786 1295,562,Murrindindi ,Murrindindi City Council,145.315679,-37.505206
Government,Point Lonsdale Primary School,Primary,22 Bowen Road,Point Lonsdale,3225,03 5258 1501,608,Queenscliffe ,Queenscliffe City Council,144.621127,-38.274428
Government,Kongwak Primary School,Primary,1445 Wonthaggi Korumburra Road,Kongwak,3951,03 5657 4224,617,South Gippsland ,South Gippsland City Council,145.712865,-38.515106
