Education_Sector,Entity_Type,School_Name,School_Type,School_Status,Address,Suburb,State,Postcode,Full_Phone_No,LGA_ID,LGA_Name,Lng,Lat
Government,1,Chiltern Primary School,Primary,O,91-101 Albert Road,Chiltern,VIC,3683,03 5726 1421,335,Indigo (S),146.606601,-36.147066
Government,1,Kyneton Primary School,Primary,O,49-79 Edgecombe Street,Kyneton,VIC,3444,03 5422 1855,413,Macedon Ranges (S),144.462694,-37.248889
Government,1,Romsey Primary School,Primary,O,2-56 Station Street,Romsey,VIC,3434,03 5429 5099,413,Macedon Ranges (S),144.7453792,-37.35417523
Government,1,Shelford Primary School,Primary,O,1717 Shelford-Bannockburn Road,Shelford,VIC,3329,03 5281 3291,249,Golden Plains (S),143.9821391,-38.0139946
Government,1,Lockwood South Primary School,Primary,O,710 Calder Alternative Highway,Lockwood South,VIC,3551,03 5435 3293,262,Greater Bendigo (C),144.156748,-36.841602
Government,1,Marong Primary School,Primary,O,2 Leslie Street,Marong,VIC,3515,03 5435 2288,262,Greater Bendigo (C),144.135372,-36.735679
Government,1,Mount Macedon Primary School,Primary,O,641 Mount Macedon Road,Mount Macedon,VIC,3441,03 5426 1446,413,Macedon Ranges (S),144.5841275,-37.40479379
Government,1,Mount Clear Primary School,Primary,O,1206 Geelong Road,Mount Clear,VIC,3350,03 5330 1844,57,Ballarat (C),143.868373,-37.604741
Government,1,Melton Primary School,Primary,O,Unitt Street,Melton,VIC,3337,03 9743 5335,465,Melton (C),144.587015,-37.680455
Government,1,Fitzroy Primary School,Primary,O,319 George Street,Fitzroy,VIC,3065,03 9417 4222,735,Yarra (C),144.981511,-37.799603
Government,1,Newstead Primary School,Primary,O,28 Lyons Street,Newstead,VIC,3462,03 5476 2226,543,Mount Alexander (S),144.06719,-37.105917
Government,1,Newlyn Primary School,Primary,O,2701 Midland Highway,Newlyn,VIC,3364,03 5345 7222,291,Hepburn (S),143.9844266,-37.41202483
Government,1,Burwood East Primary School,Primary,O,Cnr Blackburn And Highbury Rds,Burwood East,VIC,3151,03 9802 8618,698,Whitehorse (C),145.151807,-37.859734
Government,1,New Gisborne Primary School,Primary,O,239 Station Road,New Gisborne,VIC,3438,03 5428 2232,413,Macedon Ranges (S),144.596579,-37.46288785
Government,1,Beeac Primary School,Primary,O,35 Lang Street,Beeac,VIC,3251,03 5234 6463,175,Colac-Otway (S),143.644279,-38.193973
Government,1,Essendon Primary School,Primary,O,38 Raleigh Street,Essendon,VIC,3040,03 9370 7816,506,Moonee Valley (C),144.921042,-37.753095
Government,1,Coburg Primary School,Primary,O,92 Bell Street,Coburg,VIC,3058,03 9354 9332,525,Moreland (C),144.968211,-37.741303
Government,1,Penshurst Primary School,Primary,O,87 Ritchie Street,Penshurst,VIC,3289,03 5576 5433,626,Southern Grampians (S),142.291326,-37.879184
Government,1,Myrniong Primary School,Primary,O,13 Muddy Lane,Myrniong,VIC,3341,03 5368 7232,515,Moorabool (S),144.3463198,-37.61971733
Government,1,Mernda Primary School,Primary,O,25 Everton Drive,Mernda,VIC,3754,03 9717 7900,707,Whittlesea (C),145.0922429,-37.59459504
Government,1,Portland Primary School,Primary,O,45 Palmer Street,Portland,VIC,3305,03 4505 3333,241,Glenelg (S),141.599408,-38.347295
Government,1,Stawell Primary School,Primary,O,14-28 Barnes Street,Stawell,VIC,3380,03 5358 1255,581,Northern Grampians (S),142.773775,-37.056128
Government,1,Rutherglen Primary School,Primary,O,44 Murray Street,Rutherglen,VIC,3685,02 6032 9428,335,Indigo (S),146.460614,-36.056209
Government,1,Riddells Creek Primary School,Primary,O,69-77 Main Road,Riddells Creek,VIC,3431,03 5428 7277,413,Macedon Ranges (S),144.6797752,-37.46122119
Government,1,Rokewood Primary School,Primary,O,38 Aitchison Street,Rokewood,VIC,3330,03 5346 1394,249,Golden Plains (S),143.7228146,-37.90365609
Government,1,Geelong East Primary School,Primary,O,184 Boundary Road,Geelong East,VIC,3219,03 5248 4885,275,Greater Geelong (C),144.382769,-38.17551
Government,1,Sale Primary School,Primary,O,Macalister Street,Sale,VIC,3850,03 5144 5545,681,Wellington (S),147.073643,-38.108303
Government,1,Skipton Primary School,Primary,O,7 Montgomery Street,Skipton,VIC,3361,03 5340 2002,183,Corangamite (S),143.368161,-37.686858
Government,1,South Yarra Primary School,Primary,O,601 Punt Road,South Yarra,VIC,3141,03 9866 3424,460,Melbourne (C),144.985619,-37.841353
Government,1,Stratford Primary School,Primary,O,14 Wellsford Street,Stratford,VIC,3862,03 5145 6554,681,Wellington (S),147.085386,-37.967251
Government,1,Taradale Primary School,Primary,O,98 High Street,Taradale,VIC,3447,03 5423 2247,543,Mount Alexander (S),144.351063,-37.141313
Government,1,Koroit And District Primary School,Primary,O,91 Commercial Road,Koroit,VIC,3282,03 5565 8332,549,Moyne (S),142.368702,-38.292441
Government,1,Tylden Primary School,Primary,O,11 Clowes Street,Tylden,VIC,3444,03 5424 8244,413,Macedon Ranges (S),144.4087844,-37.32496764
Government,1,Thomastown Primary School,Primary,O,6 Spring Street,Thomastown,VIC,3074,03 9465 2225,707,Whittlesea (C),145.011495,-37.682271
Government,1,Wangaratta Primary School,Primary,O,19 Chisholm Street,Wangaratta,VIC,3677,03 5721 2658,670,Wangaratta (RC),146.329419,-36.355275
Government,1,Wahgunyah Primary School,Primary,O,Elizabeth Street,Wahgunyah,VIC,3687,02 6033 1265,335,Indigo (S),146.397925,-36.013651
Government,1,Woodend Primary School,Primary,O,146 High Street,Woodend,VIC,3442,03 5427 2455,413,Macedon Ranges (S),144.5329415,-37.35341833
Government,1,Woodford Primary School,Primary,O,8 Victoria Street,Woodford,VIC,3281,03 5562 7632,673,Warrnambool (C),142.484504,-38.316807
Government,1,Werribee Primary School,Primary,O,2 Deutgam Street,Werribee,VIC,3030,03 9742 6659,726,Wyndham (C),144.658736,-37.906865
Government,1,Winters Flat Primary School,Primary,O,3 Roberts Avenue,Castlemaine,VIC,3450,03 5472 1522,543,Mount Alexander (S),144.207491,-37.070164
Government,1,Wooragee Primary School,Primary,O,1011 Beechworth-Wodonga Road,Wooragee,VIC,3747,03 5728 7255,335,Indigo (S),146.730883,-36.29048
Government,1,Wallan Primary School,Primary,O,46-48 Queen Street,Wallan,VIC,3756,03 5783 1232,485,Mitchell (S),144.975036,-37.411465
Government,1,Woolsthorpe Primary School,Primary,O,12 Manifold Street,Woolsthorpe,VIC,3276,03 5569 2241,549,Moyne (S),142.4317633,-38.18741399
Government,1,Yandoit Primary School,Primary,O,74 High Street,Yandoit,VIC,3461,03 5476 4286,291,Hepburn (S),144.0884407,-37.21400151
Government,1,Yarram Primary School,Primary,O,2-14 Wesley Street,Yarram,VIC,3971,03 5182 5688,681,Wellington (S),146.675323,-38.558532
Government,1,Pleasant Street Primary School (Ballarat),Primary,O,101 Pleasant St North,Lake Wendouree,VIC,3350,03 5332 2598,57,Ballarat (C),143.838497,-37.556332
Government,1,Yea Primary School,Primary,O,23 Station Street,Yea,VIC,3717,03 5797 2724,562,Murrindindi (S),145.428298,-37.212727
Government,1,Lancefield Primary School,Primary,O,80 High Street,Lancefield,VIC,3435,03 5429 2307,413,Macedon Ranges (S),144.726424,-37.27495358
Government,1,Coimadai Primary School,Primary,O,86 Bennetts Lane,Coimadai,VIC,3340,03 5367 2907,515,Moorabool (S),144.478308,-37.6137926
Government,1,Birregurra Primary School,Primary,O,58 Beal Street,Birregurra,VIC,3242,03 5236 2222,175,Colac-Otway (S),143.78651,-38.340457
Government,1,Clayton North Primary School,Primary,O,1714 Dandenong Road,Clayton,VIC,3168,03 9544 1522,497,Monash (C),145.122666,-37.911944
Government,1,Milawa Primary School,Primary,O,133 Milawa-Bobinawarrah Road,Milawa,VIC,3678,03 5727 3243,670,Wangaratta (RC),146.432484,-36.444544
Government,1,Lockwood Primary School,Primary,O,190 Wiegards Road,Lockwood,VIC,3551,03 5435 3224,262,Greater Bendigo (C),144.161558,-36.802579
Government,1,Bealiba Primary School,Primary,O,9 Grant Street,Bealiba,VIC,3475,03 5469 1256,167,Central Goldfields (S),143.551897,-36.789942
Government,1,Bairnsdale Primary School,Primary,O,330 - 370 Main Street,Bairnsdale,VIC,3875,03 5152 4395,211,East Gippsland (S),147.6232285,-37.82742322
Government,1,Gordon Primary School,Primary,O,1 Dicker Street,Gordon,VIC,3345,03 5368 9223,515,Moorabool (S),144.105053,-37.58384869
Government,1,Hepburn Primary School,Primary,O,156 Main Road,Hepburn,VIC,3461,03 5348 2531,291,Hepburn (S),144.1327626,-37.30971525
Government,1,Lara Lake Primary School,Primary,O,89 Forest Road South,Lara Lake,VIC,3212,03 5282 1261,275,Greater Geelong (C),144.395642,-38.030405
Government,1,Rosedale Primary School,Primary,O,1-23 Cricket Street,Rosedale,VIC,3847,03 5199 2473,681,Wellington (S),146.7739049,-38.15460171
Government,1,Bright P-12 College,Pri/Sec,O,46 Bakers Gully Road,Bright,VIC,3741,03 5755 1166,11,Alpine (S),146.960928,-36.733105
Government,1,Rochester Primary School,Primary,O,2 George Street,Rochester,VIC,3561,03 5484 1072,137,Campaspe (S),144.6979959,-36.35459709
Government,1,Ararat Primary School,Primary,O,70 - 78 Moore Street,Ararat,VIC,3377,03 5352 1253,26,Ararat (RC),142.937307,-37.285942
Government,1,Jamieson Primary School,Primary,O,1 The Sideling,Jamieson,VIC,3723,03 5777 0535,425,Mansfield (S),146.139999,-37.301263
Government,1,Preston South Primary School,Primary,O,56B Hotham Street,Preston,VIC,3072,03 9484 1544,189,Darebin (C),145.007447,-37.747867
Government,1,Omeo Primary School,Primary,O,167 Day Avenue,Omeo,VIC,3898,03 5159 1313,211,East Gippsland (S),147.593082,-37.100217
Government,1,Harrietville Primary School,Primary,O,165 Great Alpine Road,Harrietville,VIC,3741,03 5759 2533,11,Alpine (S),147.064936,-36.887713
Government,1,Mordialloc Beach Primary School,Primary,O,58 Barkly Street,Mordialloc,VIC,3195,03 9580 1468,343,Kingston (C),145.088809,-38.005582
Government,1,Healesville Primary School,Primary,O,2 View Street,Healesville,VIC,3777,03 5962 4053,745,Yarra Ranges (S),145.5160425,-37.65713287
Government,1,Lake Bolac College,Pri/Sec,O,90 Montgomery Street,Lake Bolac,VIC,3351,03 5350 2302,26,Ararat (RC),142.837903,-37.720241
Government,1,Toongabbie Primary School,Primary,O,Victoria Street,Toongabbie,VIC,3856,03 5192 4384,381,Latrobe (C),146.625183,-38.056967
Government,1,Waubra Primary School,Primary,O,2110 Sunraysia Highway,Waubra,VIC,3352,03 5343 5358,599,Pyrenees (S),143.634455,-37.353836
Government,1,Great Western Primary School,Primary,O,Stephenson Street,Great Western,VIC,3374,03 5356 2235,581,Northern Grampians (S),142.85173,-37.148513
Government,1,Maffra Primary School,Primary,O,22-28 Church Street,Maffra,VIC,3860,03 5147 1236,681,Wellington (S),146.97677,-37.964002
Government,1,Broken Creek Primary School,Primary,O,413 Quinn Road,Broken Creek,VIC,3673,03 5764 1253,101,Benalla (RC),145.889232,-36.423279
Government,1,Lal Lal Primary School,Primary,O,12 Vaughan Street,Lal Lal,VIC,3352,03 5341 7580,515,Moorabool (S),144.010707,-37.676724
Government,1,Cobden Primary School,Primary,O,Silvester Street,Cobden,VIC,3266,03 5595 1087,183,Corangamite (S),143.078121,-38.327119
Government,1,St Leonards Primary School,Primary,O,1341 Murradoc Road,St Leonards,VIC,3223,03 5257 1460,275,Greater Geelong (C),144.714754,-38.171835
Government,1,Lilydale Primary School,Primary,O,63 - 65 Castella Street,Lilydale,VIC,3140,03 9735 1642,745,Yarra Ranges (S),145.3540681,-37.75367357
Government,1,Bendigo Primary School,Primary,O,Old Violet Street,Bendigo,VIC,3550,03 5443 6411,262,Greater Bendigo (C),144.265244,-36.757017
Government,1,Darraweit Guim Primary School,Primary,O,2 Darraweit Valley Road,Darraweit Guim,VIC,3756,03 5789 1234,413,Macedon Ranges (S),144.8935664,-37.4010281
Government,1,Linton Primary School,Primary,O,28 Adair Street,Linton,VIC,3360,03 5344 7341,249,Golden Plains (S),143.5613088,-37.68406827
Government,1,Invermay Primary School,Primary,O,187 Swinglers Road,Invermay,VIC,3352,03 5332 6396,57,Ballarat (C),143.874583,-37.520527
Government,1,Mitta Mitta Primary School,Primary,O,27 Giltrap Road,Mitta Mitta,VIC,3701,02 6072 3570,667,Towong (S),147.379483,-36.533414
Government,1,Camberwell Primary School,Primary,O,290 Camberwell Road,Camberwell,VIC,3124,03 9882 4663,111,Boroondara (C),145.058048,-37.832684
Government,1,Greenvale Primary School,Primary,O,12-24 Bradford Avenue,Greenvale,VIC,3059,03 9333 2500,327,Hume (C),144.886181,-37.639828
Government,1,Alexandra Primary School,Primary,O,15 Webster Street,Alexandra,VIC,3714,03 5772 1006,562,Murrindindi (S),145.711704,-37.192568
Government,1,Rockbank Primary School,Primary,O,97-105 Westcott Parade,Rockbank,VIC,3335,03 9747 1210,465,Melton (C),144.661899,-37.732147
Government,1,Bannockburn P-12 College,Pri/Sec,O,139 Milton Street,Bannockburn,VIC,3331,03 5281 1755,249,Golden Plains (S),144.160668,-38.042004
Government,1,Doreen Primary School,Primary,O,75 Doctors Gully Road,Doreen,VIC,3754,03 9717 3563,571,Nillumbik (S),145.145539,-37.60601
Government,1,Talbot Primary School,Primary,O,2 Rowe Street,Talbot,VIC,3371,03 5463 2373,167,Central Goldfields (S),143.703604,-37.16865
Government,1,Yarra Glen Primary School,Primary,O,35 Symonds Street,Yarra Glen,VIC,3775,03 9730 1254,745,Yarra Ranges (S),145.372413,-37.649705
Government,1,Elmhurst Primary School,Primary,O,48 Byerly Street,Elmhurst,VIC,3469,03 5354 8252,26,Ararat (RC),143.250208,-37.178015
Government,1,Kangaroo Flat Primary School,Primary,O,60-80 Olympic Parade,Kangaroo Flat,VIC,3555,03 5447 5100,262,Greater Bendigo (C),144.234086,-36.787683
Government,1,Westmeadows Primary School,Primary,O,34-46 Riddell Street,Westmeadows,VIC,3049,03 9309 4350,327,Hume (C),144.895697,-37.675649
Government,1,Sunbury Primary School,Primary,O,41 The Heights,Sunbury,VIC,3429,03 9744 9744,327,Hume (C),144.728144,-37.597687
Government,1,Diamond Creek Primary School,Primary,O,17 Clyde Street,Diamond Creek,VIC,3089,03 9438 1108,571,Nillumbik (S),145.1516539,-37.67184929
Government,1,Hesket Primary School,Primary,O,800 Romsey Road,Hesket,VIC,3442,03 5427 0330,413,Macedon Ranges (S),144.6197775,-37.34780909
Government,1,Axedale Primary School,Primary,O,81 High Street,Axedale,VIC,3551,03 5439 7232,262,Greater Bendigo (C),144.50146,-36.786228
Government,1,Vermont Primary School,Primary,O,4-10 Nurlendi Road,Vermont,VIC,3133,03 9874 2511,698,Whitehorse (C),145.194296,-37.837359
Government,1,Tarnagulla Primary School,Primary,O,51 Stanley Street,Tarnagulla,VIC,3551,03 5438 7355,394,Loddon (S),143.828403,-36.771263
Government,1,Balwyn Primary School,Primary,O,86B Balwyn Road,Balwyn,VIC,3103,03 9836 7121,111,Boroondara (C),145.081378,-37.813938
Government,1,Scoresby Primary School,Primary,O,11 Ingrid Street,Scoresby,VIC,3179,03 9763 7484,367,Knox (C),145.227501,-37.89395
Government,1,Carisbrook Primary School,Primary,O,2  Camp Street,Carisbrook,VIC,3464,03 5464 2444,167,Central Goldfields (S),143.812657,-37.052061
Government,1,Wandin Yallock Primary School,Primary,O,105 Beenak Road,Wandin North,VIC,3139,03 5964 4276,745,Yarra Ranges (S),145.43595,-37.790251
