Education_Sector,Entity_Type,School_Name,School_Type,School_Status,Address,Suburb,State,Postcode,Full_Phone_No,LGA_ID,LGA_Name,Lng,Lat
Government,1,Ocean Grove Primary School,Primary,O,1 - 23 Draper Street,Ocean Grove,VIC,3226,03 5255 1340,275,Greater Geelong (C),144.521852,-38.263993
Government,1,Beulah Primary School,Primary,O,Henty Highway,Beulah,VIC,3395,03 5390 2332,763,Yarriambiack (S),142.418256,-35.944942
Government,1,Merri Creek Primary School,Primary,O,Miller Street,Fitzroy North,VIC,3068,03 9481 0177,735,Yarra (C),144.987386,-37.776966
Government,1,Sunshine Primary School,Primary,O,Cnr Hampshire & Derby Roads,Sunshine,VIC,3020,03 8311 5700,118,Brimbank (C),144.831101,-37.790881
Government,1,Tyabb Primary School,Primary,O,186 Mornington-Tyabb Road,Tyabb,VIC,3913,03 5977 4584,534,Mornington Peninsula (S),145.166635,-38.260708
Government,1,Wales Street Primary School,Primary,O,Wales Street,Thornbury,VIC,3071,03 9484 3949,189,Darebin (C),145.008833,-37.76151
Government,1,Upper Sandy Creek Primary School,Primary,O,1037 Sandy Creek Road,Sandy Creek,VIC,3695,02 6071 8526,335,Indigo (S),147.112896,-36.355178
Government,1,Spensley Street Primary School,Primary,O,193 Spensley Street,Clifton Hill,VIC,3068,03 9481 4666,735,Yarra (C),145.003879,-37.786794
Government,1,Kew East Primary School,Primary,O,35 Kitchener Street,Kew East,VIC,3102,03 9859 2903,111,Boroondara (C),145.049151,-37.796473
Government,1,Nichols Point Primary School,Primary,O,110 Koorlong Avenue,Nichols Point,VIC,3501,03 5023 1633,478,Mildura (RC),142.204635,-34.2088
Government,1,Irymple Primary School,Primary,O,2032 15th Street,Irymple,VIC,3498,03 5024 5334,478,Mildura (RC),142.15908,-34.226605
Government,1,Brunswick East Primary School,Primary,O,195a Stewart Street,Brunswick East,VIC,3057,03 9387 3361,525,Moreland (C),144.980001,-37.765271
Government,1,Eagle Point Primary School,Primary,O,43 School Road,Eagle Point,VIC,3878,03 5156 6382,211,East Gippsland (S),147.680216,-37.892449
Government,1,Yarra Junction Primary School,Primary,O,2370 Warburton Highway,Yarra Junction,VIC,3797,03 5967 1544,745,Yarra Ranges (S),145.6060798,-37.779029
Government,1,Sassafras Primary School,Primary,O,399 Mt Dandenong Tourist Road,Sassafras,VIC,3787,03 9755 1203,745,Yarra Ranges (S),145.354552,-37.861625
Government,1,Ferny Creek Primary School,Primary,O,School Road,Ferny Creek,VIC,3786,03 9755 1522,745,Yarra Ranges (S),145.3347256,-37.8842124
Government,1,Toolangi Primary School,Primary,O,Main Road,Toolangi,VIC,3777,03 5962 9255,562,Murrindindi (S),145.472501,-37.535374
Government,1,Wonga Park Primary School,Primary,O,Dudley Road,Wonga Park,VIC,3115,03 9722 1325,421,Manningham (C),145.273999,-37.730641
Government,1,Kinglake West Primary School,Primary,O,1041-1061 Whittlesea-Kinglake Rd,Kinglake West,VIC,3757,03 5786 5262,562,Murrindindi (S),145.259597,-37.481303
Government,1,Perseverance Primary School,Primary,O,Centreway,French Island,VIC,3921,03 5980 1292,939,Unincorporated Vic,145.3334052,-38.38337735
Government,1,Monbulk Primary School,Primary,O,1 Main Road,Monbulk,VIC,3793,03 9756 6481,745,Yarra Ranges (S),145.4102612,-37.87685153
Government,1,Lake Boga Primary School,Primary,O,8 Williams Street,Lake Boga,VIC,3584,03 5036 9000,661,Swan Hill (RC),143.63207,-35.464511
Government,1,Chum Creek Primary School,Primary,O,705 Chum Creek Road,Chum Creek,VIC,3777,03 5962 5391,745,Yarra Ranges (S),145.4892499,-37.60595782
Government,1,Mount Dandenong Primary School,Primary,O,Farndons Road,Mount Dandenong,VIC,3767,03 9751 1136,745,Yarra Ranges (S),145.362166,-37.83074276
Government,1,Nullawil Primary School,Primary,O,Church Street,Nullawil,VIC,3529,03 5493 5260,127,Buloke (S),143.179119,-35.852732
Government,1,Badger Creek Primary School,Primary,O,139 Badger Creek Rd,Healesville,VIC,3777,03 5962 4019,745,Yarra Ranges (S),145.533243,-37.681338
Government,1,Middle Kinglake Primary School,Primary,O,RSD 1 Extons Road,Kinglake Central,VIC,3757,03 5786 1295,562,Murrindindi (S),145.315679,-37.505206
Government,1,Point Lonsdale Primary School,Primary,O,22 Bowen Road,Point Lonsdale,VIC,3225,03 5258 1501,608,Queenscliffe (B),144.621127,-38.274428
Government,1,Kongwak Primary School,Primary,O,1445 Wonthaggi Korumburra Road,Kongwak,VIC,3951,03 5657 4224,617,South Gippsland (S),145.712865,-38.515106
Government,1,Clarinda Primary School,Primary,O,1166 Centre Road,Clarinda,VIC,3169,03 9544 3231,343,Kingston (C),145.102924,-37.926995
Government,1,Chelsea Heights Primary School,Primary,O,194 Thames Promenade,Chelsea Heights,VIC,3196,03 9772 4139,343,Kingston (C),145.138057,-38.045019
Government,1,Wallington Primary School,Primary,O,608 - 610 Wallington Road,Wallington,VIC,3222,03 5250 1841,275,Greater Geelong (C),144.506853,-38.217881
Government,1,Tecoma Primary School,Primary,O,1536 Burwood Highway,Tecoma,VIC,3160,03 9754 2354,745,Yarra Ranges (S),145.3449218,-37.90695837
Government,1,Torquay P-6 College,Primary,O,45-55 Grossmans Road,Torquay,VIC,3228,03 5261 2360,649,Surf Coast (S),144.3123081,-38.32176711
Government,1,Emerald Primary School,Primary,O,10 Heroes Avenue,Emerald,VIC,3782,03 5968 4311,145,Cardinia (S),145.4424276,-37.93338297
Government,1,Carrum Primary School,Primary,O,Walkers Road,Carrum,VIC,3197,03 9772 1117,343,Kingston (C),145.126705,-38.07812
Government,1,Nyora Primary School,Primary,O,Grundy Avenue,Nyora,VIC,3987,03 5659 6240,617,South Gippsland (S),145.674891,-38.336244
Government,1,Exford Primary School,Primary,O,1137 Exford Road,Exford,VIC,3338,03 9743 5025,465,Melton (C),144.558791,-37.745287
Government,1,Ultima Primary School,Primary,O,Cnr Cameron & O'Connor Street,Ultima,VIC,3544,03 5039 6101,661,Swan Hill (RC),143.266171,-35.476233
Government,1,Mount Waverley Primary School,Primary,O,37-45 Park Lane,Mount Waverley,VIC,3149,03 9807 1480,497,Monash (C),145.124111,-37.881266
Government,1,Marlo Primary School,Primary,O,Jorgensen Street,Marlo,VIC,3888,03 5154 8236,211,East Gippsland (S),148.535038,-37.796269
Government,1,Murrumbeena Primary School,Primary,O,Hobart Road,Murrumbeena,VIC,3163,03 9568 1300,231,Glen Eira (C),145.070409,-37.88617
Government,1,Wesburn Primary School,Primary,O,2850 Warburton Highway,Wesburn,VIC,3799,03 5967 1302,745,Yarra Ranges (S),145.6470677,-37.76869153
Government,1,Koorlong Primary School,Primary,O,3645 Benetook Ave,Koorlong,VIC,3501,03 5025 7205,478,Mildura (RC),142.08485,-34.278056
Government,1,Warranwood Primary School,Primary,O,1 Wellington Park Drive,Warranwood,VIC,3134,03 9876 6066,441,Maroondah (C),145.246981,-37.774347
Government,1,Willowmavin Primary School,Primary,O,690 Willowmavin Road,Willowmavin,VIC,3764,03 5782 1319,485,Mitchell (S),144.888229,-37.259424
Government,1,Olinda Primary School,Primary,O,45 Charlemont Lane,Olinda,VIC,3788,03 9751 1181,745,Yarra Ranges (S),145.3661919,-37.85469614
Government,1,Carlisle River Primary School,Primary,O,49 Moomowroong Road,Carlisle River,VIC,3239,03 5235 0261,175,Colac-Otway (S),143.395026,-38.563929
Government,1,Spring Gully Primary School,Primary,O,104-110 Spring Gully Road,Bendigo,VIC,3550,03 5443 7230,262,Greater Bendigo (C),144.284455,-36.793185
Government,1,Mallacoota P-12 College,Pri/Sec,O,25 Bucknall Street,Mallacoota,VIC,3892,03 5158 0254,211,East Gippsland (S),149.754296,-37.559427
Government,1,Langwarrin Primary School,Primary,O,90 Warrandyte Road,Langwarrin,VIC,3910,03 9789 7346,217,Frankston (C),145.189852,-38.160389
Government,1,Cockatoo Primary School,Primary,O,19-33 Belgrave-Gembrook Road,Cockatoo,VIC,3781,03 5968 8017,145,Cardinia (S),145.496384,-37.939374
Government,1,Tyabb Railway Station Primary School,Primary,O,88 The Crescent,Tyabb,VIC,3913,03 5977 4324,534,Mornington Peninsula (S),145.192501,-38.261946
Government,1,Belgrave South Primary School,Primary,O,175 Colby Drive,Belgrave South,VIC,3160,03 9754 2505,745,Yarra Ranges (S),145.3579203,-37.93119813
Government,1,Yarra Me School,Special,O,Highview Road,Preston,VIC,3072,03 9478 8895,189,Darebin (C),145.0181746,-37.73790557
Government,1,Sydenham - Hillside Primary School,Primary,O,39-49 Community Hub,Sydenham,VIC,3037,03 9361 5300,118,Brimbank (C),144.762327,-37.702046
Government,1,Canterbury Primary School,Primary,O,Molesworth Street,Canterbury,VIC,3126,03 9836 4537,111,Boroondara (C),145.083144,-37.830963
Government,1,The Lake Primary School,Primary,O,225 Seventeenth Street,Cabarita,VIC,3505,03 5023 3468,478,Mildura (RC),142.093145,-34.205917
Government,1,Grey Street Primary School (Traralgon),Primary,O,30 - 44 Grey Street,Traralgon,VIC,3844,03 5174 2055,381,Latrobe (C),146.537121,-38.193048
Government,1,Brunswick North Primary School,Primary,O,Pearson Street,Brunswick West,VIC,3055,03 9383 1400,525,Moreland (C),144.95043,-37.759837
Government,1,Fawkner Primary School,Primary,O,Lorne Street,Fawkner,VIC,3060,03 9357 3579,525,Moreland (C),144.974756,-37.715235
Government,1,Alphington Primary School,Primary,O,Yarralea Street,Alphington,VIC,3078,03 9499 2200,735,Yarra (C),145.032006,-37.783523
Government,1,The Austin School,Special,O,145 Studley Road,Heidelberg,VIC,3084,03 9496 5324,66,Banyule (C),145.058287,-37.755435
Government,1,Bona Vista Primary School,Primary,O,520 Bona Vista Road,Bona Vista,VIC,3820,03 5627 8435,83,Baw Baw (S),145.95991,-38.210521
Government,1,Banyan Fields Primary School,Primary,O,90 Cadles Road,Carrum Downs,VIC,3201,03 9782 1333,217,Frankston (C),145.187909,-38.094598
Government,1,Norris Bank Primary School,Primary,O,146 Settlement Road,Bundoora,VIC,3083,03 9467 2206,707,Whittlesea (C),145.0426341,-37.6945118
Government,1,Macclesfield Primary School,Primary,O,405 Macclesfield Road,Macclesfield,VIC,3782,03 5968 4734,745,Yarra Ranges (S),145.4753695,-37.88979216
Government,1,Black Rock Primary School,Primary,O,71 Arkaringa Crescent,Black Rock,VIC,3193,03 9598 2293,91,Bayside (C),145.021651,-37.969869
Government,1,Mount Evelyn Primary School,Primary,O,33 Monbulk Road,Mount Evelyn,VIC,3796,03 9736 2233,745,Yarra Ranges (S),145.3888224,-37.79092979
Government,1,Kilsyth Primary School,Primary,O,Durham Road,Kilsyth,VIC,3137,03 9725 4320,745,Yarra Ranges (S),145.3149427,-37.80210649
Government,1,Wonthaggi Primary School,Primary,O,18 Billson Street,Wonthaggi,VIC,3995,03 5672 1600,74,Bass Coast (S),145.588636,-38.607947
Government,1,Spotswood Primary School,Primary,O,Melbourne Road,Spotswood,VIC,3015,03 9391 1323,311,Hobsons Bay (C),144.881736,-37.830451
Government,1,Clyde Primary School,Primary,O,13 Oroya Grove,Clyde,VIC,3978,03 5998 5293,161,Casey (C),145.326386,-38.132323
Government,1,Noble Park Primary School,Primary,O,65 Buckley Street,Noble Park,VIC,3174,03 9546 8811,267,Greater Dandenong (C),145.173906,-37.970627
Government,1,Deepdene Primary School,Primary,O,958a Burke Road,Deepdene,VIC,3103,03 9817 1917,111,Boroondara (C),145.061355,-37.808366
Government,1,Clifton Creek Primary School,Primary,O,1020 Deptford Road,Clifton Creek,VIC,3875,03 5162 7800,211,East Gippsland (S),147.659395,-37.70208
Government,1,Kennington Primary School,Primary,O,60 Crook Street,Kennington,VIC,3550,03 5443 2011,262,Greater Bendigo (C),144.307498,-36.768805
Government,1,Cardinia Primary School,Primary,O,2405 Ballarto Road,Cardinia,VIC,3978,03 5998 8323,145,Cardinia (S),145.423332,-38.145785
Government,1,Grahamvale Primary School,Primary,O,85 Grahamvale Road,Grahamvale,VIC,3631,03 5821 4219,283,Greater Shepparton (C),145.430716,-36.357202
Government,1,Irymple South Primary School,Primary,O,3208 Fifteenth Street,Irymple,VIC,3498,03 5024 5345,478,Mildura (RC),142.190619,-34.252489
Government,1,Glen Huntly Primary School,Primary,O,Grange Road,Glen Huntly,VIC,3163,03 9571 2933,231,Glen Eira (C),145.0462294,-37.89377084
Government,1,Nanneella Estate Primary School,Primary,O,159 Bennett Road,Nanneella,VIC,3561,03 5484 5395,137,Campaspe (S),144.778037,-36.312971
Government,1,Wantirna Primary School,Primary,O,120 Mountain Highway,Wantirna,VIC,3152,03 9801 1938,367,Knox (C),145.216509,-37.856256
Government,1,Wonthaggi North Primary School,Primary,O,Cnr White & Wentworth Road,Wonthaggi,VIC,3995,03 5672 4697,74,Bass Coast (S),145.600234,-38.59882
Government,1,Melton South Primary School,Primary,O,38 - 46 Exford Road,Melton South,VIC,3338,03 9743 2922,465,Melton (C),144.574264,-37.70872
Government,1,Chelsea Primary School,Primary,O,34-44 Argyle Ave,Chelsea,VIC,3196,03 9773 2055,343,Kingston (C),145.12231,-38.054889
Government,1,Hampton Primary School,Primary,O,528 Hampton Street,Hampton,VIC,3188,03 9598 1412,91,Bayside (C),145.003476,-37.93339
Government,1,Victorian College For The Deaf,Special,O,597 St Kilda Road,Melbourne,VIC,3004,03 9510 1706,460,Melbourne (C),144.982306,-37.849774
Government,1,Balliang East Primary School,Primary,O,4 School Road,Balliang East,VIC,3340,03 5369 5148,515,Moorabool (S),144.4153538,-37.79497592
Government,1,Edithvale Primary School,Primary,O,42-54 Edithvale Road,Edithvale,VIC,3196,03 9772 1393,343,Kingston (C),145.11297,-38.037494
Government,1,Orrvale Primary School,Primary,O,300 Channel Road,Orrvale,VIC,3631,03 5829 2490,283,Greater Shepparton (C),145.440539,-36.410409
Government,1,Penders Grove Primary School,Primary,O,370 Victoria Road,Thornbury,VIC,3071,03 9484 1076,189,Darebin (C),145.01427,-37.754517
Government,1,Underbool Primary School,Primary,O,67 Cotter Street,Underbool,VIC,3509,03 5094 6342,478,Mildura (RC),141.814054,-35.170573
Government,1,Caulfield Junior College,Primary,O,186 Balaclava Road,Caulfield North,VIC,3161,03 9509 6872,231,Glen Eira (C),145.021561,-37.87211
Government,1,Seaford Primary School,Primary,O,Mcrae Street,Seaford,VIC,3198,03 9786 1357,217,Frankston (C),145.130496,-38.104436
Government,1,Wattle Park Primary School,Primary,O,225 Warrigal Road,Burwood,VIC,3125,03 9808 2165,698,Whitehorse (C),145.09737,-37.842635
Government,1,Murrabit Group School,Primary,O,61 Browning Avenue,Murrabit,VIC,3579,03 5457 2284,225,Gannawarra (S),143.950749,-35.528838
Government,1,Preston West Primary School,Primary,O,383 Murray Road,Preston,VIC,3072,03 9470 1546,189,Darebin (C),144.99553,-37.737366
Government,1,Thornbury Primary School,Primary,O,16-22 Hutton Street,Thornbury,VIC,3071,03 9484 3254,189,Darebin (C),144.996748,-37.755425
Government,1,Footscray West Primary School,Primary,O,Argyle Street,West Footscray,VIC,3012,03 9687 1535,433,Maribyrnong (C),144.875267,-37.794867
Government,1,Wandin North Primary School,Primary,O,220 Warburton Highway,Wandin North,VIC,3139,03 5964 4570,745,Yarra Ranges (S),145.409713,-37.769783
Government,1,Gardenvale Primary School,Primary,O,66 Landcox Street,Brighton East,VIC,3187,03 9596 2871,91,Bayside (C),145.015034,-37.904679
Government,1,Beaumaris Primary School,Primary,O,79-99 Dalgetty Road,Beaumaris,VIC,3193,03 9589 2619,91,Bayside (C),145.037586,-37.985272
Government,1,Currawa Primary School,Primary,O,2 Ridge Road,Dookie Campus,VIC,3647,03 5828 6581,283,Greater Shepparton (C),145.7037867,-36.38474876
Government,1,Cann River P-12 College,Pri/Sec,O,20-24 Tamboon Road,Cann River,VIC,3890,03 5158 6245,211,East Gippsland (S),149.153022,-37.5697
Government,1,Altona Primary School,Primary,O,109 Blyth Street,Altona,VIC,3018,03 9398 2925,311,Hobsons Bay (C),144.822742,-37.867708
Government,1,Devon Meadows Primary School,Primary,O,50 Worthing Road,Devon Meadows,VIC,3977,03 5998 2304,161,Casey (C),145.301384,-38.162026
Government,1,Upper Ferntree Gully Primary School,Primary,O,Talaskia Road,Upper Ferntree Gully,VIC,3156,03 9758 1527,367,Knox (C),145.314325,-37.895604
Government,1,Eildon Primary School,Primary,O,45 High Street,Eildon,VIC,3713,03 5774 2074,562,Murrindindi (S),145.906761,-37.233967
Government,1,Bittern Primary School,Primary,O,Portsmouth Road,Bittern,VIC,3918,03 5983 9590,534,Mornington Peninsula (S),145.171678,-38.339857
Government,1,Colbinabbin Primary School,Primary,O,56 Mitchell Street,Colbinabbin,VIC,3559,03 5432 9330,137,Campaspe (S),144.801658,-36.589881
Government,1,Stanhope Primary School,Primary,O,48 Midland Highway,Stanhope,VIC,3623,03 5857 2514,137,Campaspe (S),144.988016,-36.448102
Government,1,Hurstbridge Primary School,Primary,O,961-989 Heidelberg-Kinglake Rd,Hurstbridge,VIC,3099,03 9718 2386,571,Nillumbik (S),145.19812,-37.635897
Government,1,Coburg West Primary School,Primary,O,185-187 Reynard Street,Coburg,VIC,3058,03 9386 1286,525,Moreland (C),144.947624,-37.74715
Government,1,Elwood Primary School,Primary,O,Scott Street,Elwood,VIC,3184,03 9531 2762,590,Port Phillip (C),144.988364,-37.881505
Government,1,Mont Albert Primary School,Primary,O,Barloa Road,Mont Albert,VIC,3127,03 9890 1331,698,Whitehorse (C),145.102727,-37.813079
Government,1,Dhurringile Primary School,Primary,O,605 Langham Road,Dhurringile,VIC,3610,03 5826 6222,283,Greater Shepparton (C),145.239786,-36.543203
Government,1,Strathewen Primary School,Primary,O,5 School Ridge Road,Strathewen,VIC,3099,03 9714 8278,571,Nillumbik (S),145.270094,-37.547579
Government,1,Don Valley Primary School,Primary,O,Old Dalry Road,Don Valley,VIC,3139,03 5967 3321,745,Yarra Ranges (S),145.5874128,-37.76019989
Government,1,Reservoir Primary School,Primary,O,Duffy Street,Reservoir,VIC,3073,03 9460 5798,189,Darebin (C),145.00677,-37.71142
Government,1,Yallourn North Primary School,Primary,O,2A Reserve Street,Yallourn North,VIC,3825,03 5115 8500,381,Latrobe (C),146.362224,-38.163208
Government,1,Toorloo Arm Primary School,Primary,O,315 Lake Tyers Beach Road,Lake Tyers Beach,VIC,3909,03 5156 5517,211,East Gippsland (S),148.05097,-37.852539
Government,1,Girgarre Primary School,Primary,O,528 Winter Road,Girgarre,VIC,3624,03 5854 6275,137,Campaspe (S),144.973758,-36.398106
Government,1,Yaapeet Primary School,Primary,O,4 Woods Street,Yaapeet,VIC,3424,03 5395 7260,763,Yarriambiack (S),142.057154,-35.768504
Government,1,Gladysdale Primary School,Primary,O,550 Little Yarra Road,Gladysdale,VIC,3797,03 5966 6202,745,Yarra Ranges (S),145.6509863,-37.82025309
Government,1,Mildura West Primary School,Primary,O,219-227  Ninth Street,Mildura,VIC,3500,03 5023 1336,478,Mildura (RC),142.152392,-34.179726
Government,1,Moonee Ponds Primary School,Primary,O,87 Wilson Street,Moonee Ponds,VIC,3039,03 9375 2511,506,Moonee Valley (C),144.932986,-37.763341
Government,1,Kingsville Primary School,Primary,O,58 Bishop Street,Yarraville,VIC,3013,03 9314 5869,433,Maribyrnong (C),144.874657,-37.812595
Government,1,Kallista Primary School,Primary,O,72 Monbulk Road,Kallista,VIC,3791,03 9755 2633,745,Yarra Ranges (S),145.370004,-37.885086
Government,1,Essendon North Primary School,Primary,O,112 Keilor Road,Essendon North,VIC,3041,03 9379 3979,506,Moonee Valley (C),144.903193,-37.741516
Government,1,Ascot Vale West Primary School,Primary,O,Langs Rd,Ascot Vale,VIC,3032,03 9370 8784,506,Moonee Valley (C),144.911125,-37.78068
Government,1,Hartwell Primary School,Primary,O,Milverton St,Camberwell,VIC,3124,03 9889 4012,111,Boroondara (C),145.084466,-37.848051
Government,1,Red Cliffs Primary School,Primary,O,Murray Avenue,Red Cliffs,VIC,3496,03 5024 1044,478,Mildura (RC),142.185312,-34.311566
Government,1,Wattle Glen Primary School,Primary,O,16-24 Reynolds Road,Wattle Glen,VIC,3096,03 9438 1259,571,Nillumbik (S),145.182037,-37.66884
Government,1,Hampton Park Primary School,Primary,O,32 Somerville Road,Hampton Park,VIC,3976,03 9799 1440,161,Casey (C),145.252893,-38.030413
Government,1,Colac West Primary School,Primary,O,12 Ligar Street,Colac,VIC,3250,03 5231 2479,175,Colac-Otway (S),143.579749,-38.336417
Government,1,Ripponlea Primary School,Primary,O,25 Carrington Grove,St Kilda East,VIC,3183,03 9527 5728,231,Glen Eira (C),145.005054,-37.874608
Government,1,Noojee Primary School,Primary,O,65 School Road,Noojee,VIC,3833,03 5628 9558,83,Baw Baw (S),146.007862,-37.895136
Government,1,Montmorency Primary School,Primary,O,60a Rattray Road,Montmorency,VIC,3094,03 9434 5944,66,Banyule (C),145.121599,-37.717652
Government,1,Moriac Primary School,Primary,O,785 Hendy Main Road,Moriac,VIC,3240,03 5266 1298,649,Surf Coast (S),144.175572,-38.24138556
Government,1,Ringwood North Primary School,Primary,O,172 Oban Road,Ringwood North,VIC,3134,03 9876 3411,441,Maroondah (C),145.230739,-37.79313
Government,1,Red Cliffs East Primary School,Primary,O,Block 67a Nerrum Avenue,Red Cliffs,VIC,3496,03 5024 1147,478,Mildura (RC),142.214274,-34.305108
Government,1,Lloyd Street Primary School,Primary,O,Lloyd Street,Malvern East,VIC,3145,03 9573 4600,635,Stonnington (C),145.056108,-37.872416
Government,1,Bayswater North Primary School,Primary,O,Stuart Street,Bayswater North,VIC,3153,03 9729 1744,441,Maroondah (C),145.295621,-37.8288
Government,1,Westbreen Primary School,Primary,O,2-10 Pascoe Street,Pascoe Vale,VIC,3044,03 9306 9481,525,Moreland (C),144.935476,-37.716291
Government,1,Point Cook Prep - Year 9 College,Pri/Sec,O,18 - 50 Ponsford Drive,Point Cook,VIC,3030,03 8348 7100,726,Wyndham (C),144.7244931,-37.89380261
Government,1,Footscray North Primary School,Primary,O,14 Rosamond Road,Footscray,VIC,3011,03 9317 9047,433,Maribyrnong (C),144.883372,-37.787746
Government,1,Airly Primary School,Primary,O,226 Airly Estate Road,Airly,VIC,3851,03 5149 8251,681,Wellington (S),147.113897,-38.025712
Government,1,Camberwell South Primary School,Primary,O,Peate Avenue,Glen Iris,VIC,3146,03 9889 4295,111,Boroondara (C),145.062612,-37.847905
Government,1,Parkdale Primary School,Primary,O,305-311 Nepean Highway,Parkdale,VIC,3195,03 9580 1451,343,Kingston (C),145.083098,-37.992792
Government,1,Hughesdale Primary School,Primary,O,Brine Street,Hughesdale,VIC,3166,03 9570 4808,497,Monash (C),145.077639,-37.905839
Government,1,Westgarth Primary School,Primary,O,45 Brooke St & 311 Clarke St,Northcote,VIC,3070,03 9481 5577,189,Darebin (C),145.005561,-37.776471
Government,1,Auburn South Primary School,Primary,O,419 Tooronga Road,Hawthorn East,VIC,3123,03 9882 2140,111,Boroondara (C),145.045894,-37.839263
Government,1,Aspendale Primary School,Primary,O,23 Laura Street,Aspendale,VIC,3195,03 9580 3255,343,Kingston (C),145.099756,-38.020273
Government,1,Eltham North Primary School,Primary,O,35-47 Wattletree Road,Eltham North,VIC,3095,03 9439 9639,571,Nillumbik (S),145.1508655,-37.70011091
Government,1,Merrivale Primary School,Primary,O,158 Merrivale Drive,Warrnambool,VIC,3280,03 5562 7172,673,Warrnambool (C),142.456146,-38.378018
Government,1,Dandenong West Primary School,Primary,O,32 Birdwood Avenue,Dandenong,VIC,3175,03 9792 2868,267,Greater Dandenong (C),145.200416,-37.980741
Government,1,Yarra Road Primary School,Primary,O,222 - 228 Yarra Road,Croydon,VIC,3136,03 9723 4182,441,Maroondah (C),145.272227,-37.766401
Government,1,Aberfeldie Primary School,Primary,O,1 Doone Street,Essendon,VIC,3040,03 9337 8084,506,Moonee Valley (C),144.894774,-37.756488
Government,1,Manifold Heights Primary School,Primary,O,20-24 Strachan Avenue,Manifold Heights,VIC,3218,03 5229 9643,275,Greater Geelong (C),144.332922,-38.135971
Government,1,Nungurner Primary School,Primary,O,455 Nungurner Road,Nungurner,VIC,3909,03 5156 3232,211,East Gippsland (S),147.888387,-37.865917
Government,1,Dingley Primary School,Primary,O,111-115 Centre Dandenong Road,Dingley Village,VIC,3172,03 9551 3555,343,Kingston (C),145.132498,-37.982602
Government,1,Cardross Primary School,Primary,O,415 Dairtnunk Avenue,Cardross,VIC,3496,03 5024 1267,478,Mildura (RC),142.145041,-34.288009
Government,1,Albion Primary School,Primary,O,61-81 Adelaide Street,Albion,VIC,3020,03 9311 1325,118,Brimbank (C),144.819753,-37.778083
Government,1,Lemnos Primary School,Primary,O,Lemnos Road,Lemnos,VIC,3631,03 5829 9287,283,Greater Shepparton (C),145.462459,-36.358053
Government,1,Tarwin Lower Primary School,Primary,O,School Road,Tarwin Lower,VIC,3956,03 5663 5263,617,South Gippsland (S),145.86706,-38.702574
Government,1,Nepean Special School,Special,O,33 Klauer St,Seaford,VIC,3198,03 9786 9111,217,Frankston (C),145.14233,-38.119433
Government,1,Brunswick South West Primary School,Primary,O,South Daly Street,Brunswick West,VIC,3055,03 9387 6886,525,Moreland (C),144.943522,-37.770575
Government,1,Bell Primary School,Primary,O,78A Oakover Road,Preston,VIC,3072,03 9480 5622,189,Darebin (C),144.990613,-37.747698
Government,1,Chatham Primary School,Primary,O,47A Weybridge Street,Surrey Hills,VIC,3127,03 9830 1933,111,Boroondara (C),145.091603,-37.817647
Government,1,Caulfield South Primary School,Primary,O,24 Bundeera Road,Caulfield South,VIC,3162,03 9578 3718,231,Glen Eira (C),145.030799,-37.895253
Government,1,Ashburton Primary School,Primary,O,Fakenham Road,Ashburton,VIC,3147,03 9813 9400,111,Boroondara (C),145.083622,-37.862199
Government,1,Bentleigh West Primary School,Primary,O,23 Brewer Road,Bentleigh,VIC,3204,03 9557 1228,231,Glen Eira (C),145.026767,-37.920585
Government,1,Seaspray Primary School,Primary,O,15 Prospect Road,Seaspray,VIC,3851,03 5146 4393,681,Wellington (S),147.170623,-38.356489
Government,1,Anglesea Primary School,Primary,O,85 Camp Road,Anglesea,VIC,3230,03 5263 1231,649,Surf Coast (S),144.191837,-38.39678
Government,1,Briar Hill Primary School,Primary,O,25 Gladstone Road,Briar Hill,VIC,3088,03 9435 1633,66,Banyule (C),145.116219,-37.708307
Government,1,Zeerust Primary School,Primary,O,245 Zeerust Road,Zeerust,VIC,3634,03 5829 8282,283,Greater Shepparton (C),145.405067,-36.277196
Government,1,McKinnon Primary School,Primary,O,253 Tucker Road,Ormond,VIC,3204,03 9578 1851,231,Glen Eira (C),145.052795,-37.908049
Government,1,Clayton South Primary School,Primary,O,539 Clayton Road,Clayton South,VIC,3169,03 9558 0599,343,Kingston (C),145.11644,-37.940477
Government,1,Ivanhoe East Primary School,Primary,O,35 Warncliffe Road,Ivanhoe East,VIC,3079,03 9499 2171,66,Banyule (C),145.059453,-37.774587
Government,1,Cobains Primary School,Primary,O,3 Crofts Road,Cobains,VIC,3851,03 5149 8274,681,Wellington (S),147.132279,-38.074794
Government,1,Mildura South Primary School,Primary,O,593 Deakin Avenue,Mildura South,VIC,3501,03 5023 2148,478,Mildura (RC),142.126787,-34.213477
Government,1,Tate Street Primary School Geelong,Primary,O,Tate Street,Geelong East,VIC,3219,03 5221 2780,275,Greater Geelong (C),144.379195,-38.166053
Government,1,Brunswick North West Primary School,Primary,O,Culloden Street,Brunswick West,VIC,3055,03 9386 4624,525,Moreland (C),144.943592,-37.756708
Government,1,Katandra West Primary School,Primary,O,17-27 Bankin Street,Katandra West,VIC,3634,03 5828 3350,283,Greater Shepparton (C),145.560714,-36.225467
Government,1,Fleetwood Primary School,Primary,O,97 Fleetwood Drive,Narre Warren,VIC,3805,03 9705 2281,161,Casey (C),145.318095,-38.039305
